date,Closed PnL,Trade_Count,Avg_Trade_Size,LS_Ratio,value,classification
2023-05-01,0.0,3,159.0,3.0,63,Greed
2023-12-05,0.0,9,5556.203333333334,3.5,75,Extreme Greed
2023-12-14,-205.43473700000007,11,10291.213636363636,1.75,72,Greed
2023-12-15,-24.632033999999997,2,5304.975,0.0,70,Greed
2023-12-16,0.0,3,5116.256666666667,3.0,67,Greed
2023-12-17,304.982785,14,8305.572857142857,14.0,73,Greed
2023-12-18,0.0,2,15582.089999999998,2.0,65,Greed
2023-12-19,1000.5386120000001,15,6106.827333333334,15.0,73,Greed
2023-12-20,162.732282,18,7868.710555555556,18.0,74,Greed
2023-12-21,537.211402,49,2555.795306122449,49.0,70,Greed
2023-12-22,141.832675,10,8887.428,10.0,74,Greed
2023-12-23,146.936704,13,6033.711538461538,13.0,70,Greed
2023-12-24,1008.619956,39,10332.177948717948,4.571428571428571,71,Greed
2023-12-25,-245.081348,3,19982.836666666666,3.0,73,Greed
2023-12-27,-704.8892269999999,28,6121.823571428571,28.0,73,Greed
2023-12-28,-970.730876,23,4352.923913043478,23.0,73,Greed
2023-12-29,508.92214299999995,50,11391.1944,2.8461538461538463,65,Greed
2023-12-30,354.998648,52,13510.58096153846,2.0588235294117645,68,Greed
2024-01-01,-129.53146,18,14679.973888888888,3.5,65,Greed
2024-01-02,783.979116,17,7138.1611764705885,0.0,71,Greed
2024-01-03,866.015507,67,5888.050149253731,67.0,70,Greed
2024-01-04,-67.60364,5,19958.508,5.0,68,Greed
2024-01-05,164.141565,66,25817.31303030303,1.75,72,Greed
2024-01-06,135.58166400000002,22,13569.154545454547,6.333333333333333,70,Greed
2024-01-07,-835.681235,97,10812.887216494846,4.388888888888889,71,Greed
2024-01-08,-269.874439,128,11894.159609375,1.7234042553191489,71,Greed
2024-01-09,-826.349863,70,12429.313857142857,2.5,76,Extreme Greed
2024-01-10,-1517.091342,193,10660.515440414507,1.1444444444444444,73,Greed
2024-01-11,-164.08950099999998,21,14538.766666666666,1.3333333333333333,76,Extreme Greed
2024-01-12,-1925.519024,7,28583.181428571428,7.0,71,Greed
2024-01-15,152.85358,14,3616.8642857142854,14.0,52,Neutral
2024-01-16,-2299.171458,9,12936.37,9.0,64,Greed
2024-01-17,813.2741110000001,53,15110.019433962265,1.12,60,Greed
2024-01-18,68.93319,46,9231.120217391304,0.84,63,Greed
2024-01-19,-385.419235,48,8925.603541666665,2.0,51,Neutral
2024-01-20,-146.57487000000003,106,10095.193490566038,1.4090909090909092,52,Neutral
2024-01-21,266.58114600000005,11,9375.43090909091,0.5714285714285714,56,Greed
2024-01-22,1375.640959,85,3975.0469411764707,1.4285714285714286,55,Greed
2024-01-23,-369.2447299999998,45,9211.531777777778,1.5,50,Neutral
2024-01-24,-2808.353815,68,14192.42044117647,1.5185185185185186,48,Neutral
2024-01-25,-3093.6293849999997,6,11094.355000000001,6.0,52,Neutral
2024-01-26,90.2,5,2354.642,5.0,49,Neutral
2024-01-28,-2478.06972,11,1646.2754545454545,11.0,54,Neutral
2024-01-29,486.562542,74,5597.407837837838,1.6428571428571428,55,Greed
2024-01-30,-173.65419100000003,49,8183.905714285715,0.6333333333333333,61,Greed
2024-01-31,-799.840817,859,7340.683504074505,0.9046563192904656,60,Greed
2024-02-01,0.0,6,334.69666666666666,6.0,63,Greed
2024-02-02,456.423473,42,11292.343571428572,2.0,63,Greed
2024-02-03,223.30918699999998,56,10782.5,0.47368421052631576,60,Greed
2024-02-04,47.62389499999999,35,5805.358,1.9166666666666667,60,Greed
2024-02-05,-33.45419400000003,72,10697.198055555556,1.88,60,Greed
2024-02-06,-215.615907,1088,7396.280707720588,0.9890310786106032,64,Greed
2024-02-07,241.24212,15,450.582,0.5,62,Greed
2024-02-08,770.756024,10,2605.112,0.6666666666666666,66,Greed
2024-02-11,983.443176,34,6244.465294117647,1.8333333333333333,71,Greed
2024-02-12,913.8817869999998,16,14202.981249999999,0.3333333333333333,70,Greed
2024-02-13,559.44389,14,142.85642857142858,14.0,79,Extreme Greed
2024-02-14,3830.599833,111,2890.4493693693694,2.0,74,Greed
2024-02-15,1840.797677,63,2939.4926984126987,0.14545454545454545,72,Greed
2024-02-16,5491.768834,182,3103.826978021978,0.5041322314049587,72,Greed
2024-02-17,1929.6418,94,4320.405,2.76,76,Extreme Greed
2024-02-18,477.6248299999999,97,1619.0532989690723,5.466666666666667,72,Greed
2024-02-19,4317.768563,101,2835.417821782178,1.2954545454545454,75,Extreme Greed
2024-02-20,3263.628824,39,3062.0441025641026,2.9,72,Greed
2024-02-21,1858.7985700000002,22,4911.250909090909,22.0,78,Extreme Greed
2024-02-22,3894.1050699999996,88,4239.02125,88.0,74,Greed
2024-02-23,1418.55293,143,776.966013986014,0.08333333333333333,76,Extreme Greed
2024-02-25,-30.7705,5,896.0260000000001,0.0,74,Greed
2024-02-26,4416.8473,39,4927.875384615385,0.3,72,Greed
2024-02-27,888.511733,63,3323.2111111111108,0.575,79,Extreme Greed
2024-02-28,2503.747235,45,3802.380666666667,0.36363636363636365,82,Extreme Greed
2024-02-29,9813.996992,116,3410.9200862068965,0.6571428571428571,80,Extreme Greed
2024-03-01,8244.241409,137,3452.370072992701,3.566666666666667,80,Extreme Greed
2024-03-02,230.90060000000005,31,2038.6309677419354,0.06896551724137931,80,Extreme Greed
2024-03-03,8361.086245,79,4946.1478481012655,3.1578947368421053,83,Extreme Greed
2024-03-04,27799.775742,300,5259.989566666667,0.9867549668874173,82,Extreme Greed
2024-03-05,19791.026041,180,4676.724,2.75,90,Extreme Greed
2024-03-06,6814.825139,82,3990.4636585365856,0.5471698113207547,75,Extreme Greed
2024-03-08,4271.886236,67,2740.047462686567,2.526315789473684,81,Extreme Greed
2024-03-09,9949.501624,117,5625.459401709401,0.2857142857142857,84,Extreme Greed
2024-03-10,2482.9272,42,5237.472619047619,0.0,79,Extreme Greed
2024-03-11,3588.179495,42,4202.844047619047,2.230769230769231,82,Extreme Greed
2024-03-12,3039.166,8,12880.10625,8.0,81,Extreme Greed
2024-03-13,0.0,7,857.2571428571428,7.0,81,Extreme Greed
2024-03-14,3465.865832,18,11440.732222222221,18.0,88,Extreme Greed
2024-03-15,6236.513651,62,5675.71629032258,1.6956521739130435,83,Extreme Greed
2024-03-16,228.57984,8,4652.9575,3.0,81,Extreme Greed
2024-03-17,503.293955,23,4326.389130434783,2.2857142857142856,79,Extreme Greed
2024-03-18,1456.9577,19,4760.951578947369,19.0,77,Extreme Greed
2024-03-19,668.797973,24,9161.868333333334,1.4,79,Extreme Greed
2024-03-20,6423.134599,69,3126.171739130435,1.875,74,Greed
2024-03-21,2335.5080749999997,28,4210.556071428572,0.21739130434782608,78,Extreme Greed
2024-03-24,1297.018477,19,4873.274210526315,0.0,74,Greed
2024-03-25,1302.916428,7,8159.4742857142855,6.0,75,Extreme Greed
2024-03-26,3215.906593,118,1682.7558474576272,58.0,81,Extreme Greed
2024-03-27,150.41114,38,2628.020789473684,1.7142857142857142,83,Extreme Greed
2024-03-28,227.85100799999998,13,2717.209230769231,0.3,80,Extreme Greed
2024-03-29,883.097404,15,5794.291333333333,15.0,79,Extreme Greed
2024-03-30,1100.57514,45,2246.753777777778,45.0,75,Extreme Greed
2024-03-31,912.786145,13,3070.2276923076925,3.3333333333333335,75,Extreme Greed
2024-04-01,2507.963406,77,4408.7074025974025,8.625,79,Extreme Greed
2024-04-02,883.760812,41,5845.475853658536,0.64,79,Extreme Greed
2024-04-03,126.7884,4,4221.8925,4.0,71,Greed
2024-04-04,0.0,32,2999.6165625,0.0,70,Greed
2024-04-05,10706.484306,100,5037.918,13.285714285714286,79,Extreme Greed
2024-04-06,236.33513399999998,16,4263.979375,0.3333333333333333,75,Extreme Greed
2024-04-07,0.0,23,2173.397391304348,0.0,78,Extreme Greed
2024-04-08,1218.4267,30,7064.688,0.0,76,Extreme Greed
2024-04-09,0.0,3,19021.280000000002,0.0,80,Extreme Greed
2024-04-10,5207.443414,41,8578.926097560974,0.17142857142857143,78,Extreme Greed
2024-04-11,389.743164,16,4775.06,16.0,76,Extreme Greed
2024-04-12,-592.6458390000001,129,3427.0433333333335,7.6,79,Extreme Greed
2024-04-13,6621.451755,89,5465.294943820225,2.423076923076923,72,Greed
2024-04-14,-36104.012520000004,107,6160.394112149533,2.962962962962963,72,Greed
2024-04-15,3774.08872,41,7100.272926829269,1.9285714285714286,74,Greed
2024-04-16,2467.702221,47,3870.3653191489366,0.42424242424242425,65,Greed
2024-04-17,2441.4683999999997,14,6968.785000000001,0.0,67,Greed
2024-04-19,1946.4454620000001,35,9635.940571428573,10.666666666666666,66,Greed
2024-04-20,0.0,22,2760.601818181818,10.0,66,Greed
2024-04-22,0.0,9,5332.623333333333,0.0,73,Greed
2024-04-23,1119.536196,66,3531.1348484848486,1.2758620689655173,71,Greed
2024-04-24,279.185907,20,7063.762,20.0,72,Greed
2024-04-25,0.0,74,1624.8785135135136,74.0,72,Greed
2024-04-26,0.0,3,1662.7633333333335,0.0,70,Greed
2024-04-27,4281.488139,27,5713.498888888889,2.375,67,Greed
2024-04-28,0.0,58,758.3724137931034,0.0,65,Greed
2024-04-29,526.9338359999999,45,2415.5335555555553,0.18421052631578946,67,Greed
2024-04-30,0.0,24,5209.114583333333,24.0,67,Greed
2024-05-01,0.0,14,6216.103571428571,14.0,54,Neutral
2024-05-03,5306.017045,36,7852.295833333333,1.0,48,Neutral
2024-05-04,0.0,9,6555.416666666667,0.0,67,Greed
2024-05-05,0.916,6,4011.391666666667,0.0,69,Greed
2024-05-06,968.59038,9,22890.714444444442,0.8,71,Greed
2024-05-07,883.537693,18,6039.865555555556,0.38461538461538464,68,Greed
2024-05-08,1.56576,13,5074.89,12.0,64,Greed
2024-05-09,1147.595856,28,7927.361428571428,2.5,55,Greed
2024-05-10,2101.741695,22,7131.0,0.8333333333333334,66,Greed
2024-05-11,251.604742,9,7027.661111111111,9.0,53,Neutral
2024-05-12,0.0,23,2399.111304347826,2.8333333333333335,56,Greed
2024-05-13,2136.853859,28,6897.103571428571,1.1538461538461537,57,Greed
2024-05-14,1150.5233050000002,23,6341.452173913043,4.75,66,Greed
2024-05-15,948.970582,36,6525.626944444444,2.0,64,Greed
2024-05-16,214.5898,27,6022.998518518518,0.5,70,Greed
2024-05-18,3522.3946610000003,25,5052.1256,0.5625,73,Greed
2024-05-19,0.0,8,3749.76125,8.0,72,Greed
2024-05-20,-74.818442,10,3812.475,10.0,70,Greed
2024-05-21,7289.397571999999,125,8807.588720000002,0.34408602150537637,76,Extreme Greed
2024-05-22,0.0,6,7499.215,0.0,76,Extreme Greed
2024-05-23,413.347329,325,1236.4633846153845,0.3829787234042553,76,Extreme Greed
2024-05-24,821.949278,2,25405.949999999997,2.0,74,Greed
2024-05-25,14.126038999999999,16,1874.4456249999998,0.14285714285714285,76,Extreme Greed
2024-05-26,778.6839,16,3373.541875,0.14285714285714285,75,Extreme Greed
2024-05-27,1129.35587,251,602.0546613545816,0.0,74,Greed
2024-05-29,277.791953,164,513.8339024390243,0.1388888888888889,72,Greed
2024-05-30,20.951433,7,405.4414285714286,0.0,73,Greed
2024-05-31,25.35812,13,279.70307692307694,0.0,73,Greed
2024-06-01,91.510419,25,513.3848,0.0,72,Greed
2024-06-02,192.906947,93,316.822688172043,0.0,73,Greed
2024-06-03,562.808208,70,306.66942857142857,0.0,73,Greed
2024-06-04,52.211438,53,457.42283018867926,0.0,73,Greed
2024-06-05,56.055506,54,469.4587037037037,0.0,75,Extreme Greed
2024-06-06,274.173187,234,587.8536752136753,0.008620689655172414,78,Extreme Greed
2024-06-07,8902.467416,440,2496.7926363636366,0.43322475570032576,77,Extreme Greed
2024-06-08,129.13883900000002,29,3356.961379310345,29.0,72,Greed
2024-06-09,0.0,17,1318.2482352941176,17.0,75,Extreme Greed
2024-06-10,31.266804999999998,53,879.0175471698113,0.08163265306122448,72,Greed
2024-06-11,4320.631811,123,3034.7960975609753,14.375,74,Greed
2024-06-12,-21886.531493,254,761.4486614173228,0.17050691244239632,72,Greed
2024-06-13,6632.757115,79,1678.1926582278481,3.6470588235294117,70,Greed
2024-06-14,10258.592609,31,4511.892258064517,1.0666666666666667,74,Greed
2024-06-15,3369.958346,78,9209.61858974359,1.5161290322580645,74,Greed
